timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:01:55.568,0.01580,0.02588,0.99423,0.99469,0.98919,0.28271,0.00786
2025-09-13 16:01:55.576,-0.02072,-0.02453,0.94878,0.94932,0.97723,1.43542,0.01177
2025-09-13 16:01:55.584,0.01021,0.02491,1.01228,1.01264,0.98785,1.27470,0.01289
2025-09-13 16:01:55.593,0.01302,-0.00451,0.98800,0.98810,0.98793,0.00881,0.01389
2025-09-13 16:01:55.601,-0.02374,0.00362,0.96978,0.97008,0.98257,0.64241,0.01548
2025-09-13 16:01:55.610,-0.01088,0.03959,0.98543,0.98628,0.98369,0.13356,0.01686
2025-09-13 16:01:55.619,0.01337,-0.00951,1.00075,1.00088,0.98885,0.61915,0.01757
2025-09-13 16:01:55.627,0.02051,0.00557,0.99325,0.99348,0.99023,0.16667,0.01811
2025-09-13 16:01:55.635,-0.01882,0.02159,0.98695,0.98737,0.98938,0.10313,0.01786
2025-09-13 16:01:55.643,0.00529,-0.00361,0.99874,0.99876,0.99219,0.33791,0.01762
2025-09-13 16:01:55.652,0.01933,-0.00809,0.97755,0.97778,0.98787,0.51890,0.01613
2025-09-13 16:01:55.659,-0.03225,0.02341,0.99350,0.99430,0.98980,0.23156,0.01593
2025-09-13 16:01:55.668,0.01090,0.00602,1.00845,1.00853,0.99542,0.67447,0.01529
2025-09-13 16:01:55.676,-0.00045,-0.00654,1.00552,1.00554,0.99846,0.36456,0.01368
2025-09-13 16:01:55.684,-0.04541,-0.01717,1.02478,1.02593,1.00670,0.98899,0.01198
2025-09-13 16:01:55.693,0.02359,-0.01661,0.99660,0.99702,1.00379,0.34846,0.01091
2025-09-13 16:01:55.701,0.00930,-0.00396,1.02826,1.02831,1.01115,0.88247,0.01024
2025-09-13 16:01:55.710,0.02542,0.01460,1.04493,1.04534,1.02140,1.23091,0.01081
2025-09-13 16:01:55.718,0.00071,0.00095,0.99966,0.99966,1.01488,0.78278,0.01077
2025-09-13 16:01:55.727,-0.02351,0.02248,0.96304,0.96359,0.99949,1.84656,0.00949
2025-09-13 16:01:55.735,-0.01187,0.02115,1.04023,1.04051,1.01180,1.47678,0.00870
